"parking_id";"places_id"
159;161
159;162
159;163
159;164
159;165
159;166
159;167
159;168
159;169
159;170
159;171
159;172
159;173
159;174
159;175
159;176
159;177
159;178
159;179
159;180
159;181
159;182
159;183
159;184
159;185
159;186
159;187
159;188
159;189
159;190
159;191
159;192
159;193
159;194
159;195
159;196
159;197
159;198
159;199
159;200
159;201
159;202
159;203
159;204
159;205
159;206
159;207
159;208
159;209
159;210
159;211
159;212
159;213
159;214
159;215
159;216
159;217
159;218
159;219
159;220
159;221
159;222
159;223
159;224
159;225
159;226
159;227
159;228
159;229
159;230
159;231
159;232
159;233
159;234
159;235
159;236
159;237
238;240
238;241
238;242
238;243
238;244
238;245
238;246
238;247
238;248
238;249
238;250
238;251
238;252
238;253
238;254
255;257
255;258
255;259
255;260
255;261
255;262
255;263
255;264
255;265
255;266
255;267
255;268
255;269
255;270
255;271
272;274
272;275
272;276
272;277
272;278
272;279
272;280
272;281
272;282
272;283
272;284
272;285
272;286
272;287
272;288
289;291
289;292
289;293
289;294
289;295
289;296
289;297
289;298
289;299
289;300
289;301
289;302
289;303
289;304
289;305
306;308
306;309
306;310
306;311
306;312
306;313
306;314
306;315
306;316
306;317
306;318
306;319
306;320
306;321
306;322
1065;1067
1065;1068
1065;1069
1065;1070
1065;1071
1065;1072
1065;1073
1065;1074
1065;1075
1065;1076
1065;1077
1065;1078
1065;1079
1065;1080
1065;1081
1065;1082
1065;1083
1065;1084
1065;1085
1065;1086
1065;1087
1065;1088
1065;1089
1065;1090
1065;1091
1065;1092
1065;1093
1065;1094
